fit,,data,
X,Y,X,Y
0.023739030215832596,33.43760765045192,0.04662077220520908,42.39429164345211
0.06660022811171393,55.88278635312702,0.0654473670048131,49.91343506238758
0.13119248037300715,79.2150216789324,0.029823295317314286,34.10161708690373
0.2264987919750643,102.99327858201562,0.01476620629212913,24.040507378272594
0.04198233083166139,44.60452620021886,0.08601217618419074,57.76441940837071
0.09846085689824749,68.37790576599548,0.10802658408818108,64.84179982066166
0.17956849084108337,92.59654255021826,0.13004179274904262,71.14539430906257
0.2957373787847788,116.4879609584228,0.15205688701606543,77.55952964373341
0.39336954591625706,132.7497314994615,0.17668004641270027,83.75291086822065
0.5260598784149488,151.6688865137724,0.19985520859846503,89.17232417861976
0.6210891281395587,163.17707308284383,0.22389964956487454,94.59184668313765
0.7227827341219405,174.79663765309607,0.2491030145116385,100.12205562608398
0.8279541415899343,185.75339392220343,0.27343778704079,104.98891029729143
0.9455849827928271,196.93279699955366,0.29777221638842544,110.1873875073089
0.0005926952774323591,0.1619010800078513,0.3226862793169961,115.27539666713554
0.008395956593777898,19.728613616870575,0.34846973542005044,120.25297417481096
0.0162119156262244,27.025292217761205,0.3730941531489116,125.23040609032805
0.032425640754988966,39.407905290221095,0.3988779524334821,129.8763610591934
0.0529875900883979,50.0224107929547,0.42437256409369817,133.96957539866906
0.08282001611393211,62.40673457327591,0.45044612297181696,138.61556676557407
0.11670919084298123,74.68102707988152,0.4768100134126778,142.70889029916853
0.15610448421248044,86.29276607161944,0.5011449003356682,147.46520412410592
0.20361293180749293,98.0160650547362,0.5286679435445609,151.4481324035888
0.2627113055690822,110.18298334451711,0.5576397847211951,155.43124267326968
0.3446979417688565,125.00575738990705,0.57907821964709,159.08178405511086
0.37193088220268467,129.32027181016034,0.6068907936618536,163.28583042517334
0.3215214068570269,120.91283423474817,0.6335449012716178,166.93702697172736
0.4602938309742639,142.59627476464124,0.6593295013130596,170.8091960167026
0.4263969918580187,137.72821895812697,0.6862734829102107,174.34988811502618
0.4941912420597029,146.91162633980537,0.7132173501135233,178.0011210596198
0.5761814244684783,158.30763415082467,0.7390027509118362,181.0995041807049
0.5990695725128248,161.0740307527037,0.7659466181151486,184.75073712529849
0.5503963668516816,154.87762849092954,0.792601183300268,187.95977028677243
0.6746880181033452,169.59517580383127,0.8201247984783544,191.3899943349052
0.6996044833025297,172.36182719198752,0.8473589972444089,194.4885594461883
0.6494819077044514,166.7179471713654,0.8740137912172055,197.4765109151222
0.778410513209759,180.66229092901065,0.9012477611955825,200.79615771894532
0.7497271732944467,177.8951663663396,0.9287720627367013,203.56313668945796
0.8050656503640716,183.31861985913446,0.9560066046842721,206.33007926193102
0.8902462769355246,191.73042519929882,,
0.857506531498214,188.74170937153332,,
0.921537110011255,194.82949988313635,,
0.0031886346601372184,11.65847667444632,,
0.27922394179849486,113.72236511341504,,
0.24359106178541237,106.42219230072274,,
