FRB,z,gl,gb,DM,"DM_MW, ISM(NE2001)","DM_MW, ISM(YMW16)",DM_ext(ne2001),DM_ext(ymw16),Ref.
FRB 20230730A,0.2115,158.8166352,-17.81644809,312.5,85.16,97.38,197.3438492,185.1201477,https://arxiv.org/pdf/2502.11217
FRB 20230926A,0.0553,68.23527902,27.48398452,222.8,52.62,43.72,140.1800316,149.0774048,https://arxiv.org/pdf/2502.11217
FRB 20231005A,0.0713,57.16529291,44.35315679,189.4,33.47,28.79,125.9296249,130.6137375,https://arxiv.org/pdf/2502.11217
FRB 20231011A,0.0783,127.2286992,-20.94298363,186.3,70.35,65.69,85.94981079,90.60969238,https://arxiv.org/pdf/2502.11217
FRB 20231017A,0.245,100.6098004,-21.65190357,344.2,64.55,55.64,249.6493484,258.5585129,https://arxiv.org/pdf/2502.11217
FRB 20231025B,0.3238,93.43324314,29.43399566,368.7,48.59,43.37,290.111335,295.3280136,https://arxiv.org/pdf/2502.11217
FRB 20231123A,0.0729,199.3094435,-15.74274898,302.1,89.75,136.86,182.3513809,135.2373596,https://arxiv.org/pdf/2502.11217
FRB 20231128A,0.1079,105.6852393,73.2240021,331.6,25.01,20.54,276.5937153,281.0642658,https://arxiv.org/pdf/2502.11217
FRB 20231201A,0.1119,163.0405249,-22.7702363,169.4,69.95,74.72,69.44795837,64.68348541,https://arxiv.org/pdf/2502.11217
FRB 20231204A,0.0644,97.62375629,65.92814517,221,29.83,21.79,161.1713448,169.2131252,https://arxiv.org/pdf/2502.11217
FRB 20231206A,0.0659,161.0581675,27.48189499,457.7,59.14,59.29,368.5641319,368.4117424,https://arxiv.org/pdf/2502.11217
FRB 20231223C,0.1059,52.31072392,32.08016178,165.8,47.87,38.64,87.93407516,97.16232758,https://arxiv.org/pdf/2502.11217
FRB 20231229A,0.019,135.344911,-26.44334852,198.5,58.18,51.77,110.3196983,116.7344666,https://arxiv.org/pdf/2502.11217
FRB 20231230A,0.0298,195.8701482,-25.2386886,131.4,61.58,83.27,39.82437363,18.12587585,https://arxiv.org/pdf/2502.11217
