FRB,z,DM,DM_ext,From
FRB 20180924B,0.3214,361.42,290.92,Surajit
FRB 20181112A,0.4755,589.27,457.27,Surajit
FRB 20190102C,0.291,363.6,276.3,Surajit
FRB 20190608B,0.1178,338.7,271.5,Surajit
FRB 20190711A,0.522,593.1,506.7,Surajit
