,z,C_0
0,0.001,34.175159428444076
1,0.021191919191919192,7.9264762739017085
2,0.041383838383838384,5.7680948753165735
3,0.061575757575757575,4.779750941138718
4,0.08176767676767677,4.181646382901842
5,0.10195959595959596,3.7697210909959984
6,0.12215151515151515,3.4637172027950522
7,0.14234343434343433,3.224771008855645
8,0.16253535353535353,3.031460609891108
9,0.18272727272727274,2.87087546633919
10,0.20291919191919192,2.7347075037580924
11,0.2231111111111111,2.6173346039026173
12,0.2433030303030303,2.5147975119358392
13,0.2634949494949495,2.4242161780699574
14,0.28368686868686865,2.3434385270014944
15,0.30387878787878786,2.270819603226313
16,0.32407070707070706,2.2050774883091235
17,0.34426262626262627,2.145196311889783
18,0.3644545454545455,2.090359177515752
19,0.3846464646464646,2.0399006732030482
20,0.40483838383838383,1.9932725463065768
21,0.42503030303030304,1.9500184350764929
22,0.4452222222222222,1.909754960892535
23,0.4654141414141414,1.872157370939217
24,0.4856060606060606,1.8369484907892528
25,0.5057979797979798,1.8038901210068135
26,0.525989898989899,1.77277626322012
27,0.5461818181818182,1.7434277328354253
28,0.5663737373737373,1.7156878348421656
29,0.5865656565656565,1.6894188632799656
30,0.6067575757575757,1.6644992450885618
31,0.6269494949494949,1.6408211926565668
32,0.6471414141414141,1.618288761312493
33,0.6673333333333333,1.5968162316949654
34,0.6875252525252525,1.5763267546678152
35,0.7077171717171717,1.5567512098547827
36,0.727909090909091,1.5380272391001681
37,0.74810101010101,1.5200984240306543
38,0.7682929292929292,1.502913582999933
39,0.7884848484848485,1.4864261674635988
40,0.8086767676767677,1.470593741587019
41,0.8288686868686869,1.4553775318569724
42,0.8490606060606061,1.4407420358403762
43,0.8692525252525253,1.4266546811261367
44,0.8894444444444444,1.4130855270250373
45,0.9096363636363636,1.4000070028350673
46,0.9298282828282828,1.3873936774959228
47,0.950020202020202,1.375222056282563
48,0.9702121212121212,1.3634704008664233
49,0.9904040404040404,1.3521185696377753
50,1.0105959595959595,1.3411478756464847
51,1.0307878787878786,1.3305409599075648
52,1.050979797979798,1.3202816781442053
53,1.071171717171717,1.3103549993057886
54,1.0913636363636363,1.3007469144408819
55,1.1115555555555554,1.2914443546827443
56,1.1317474747474745,1.2824351172807062
57,1.1519393939393938,1.2737077987430536
58,1.172131313131313,1.265251734279088
59,1.1923232323232322,1.257056942825847
60,1.2125151515151513,1.2491140770336135
61,1.2327070707070706,1.2414143776575417
62,1.2528989898989897,1.233949631865799
63,1.273090909090909,1.2267121350275274
64,1.2932828282828281,1.2196946555966373
65,1.3134747474747472,1.212890402739672
66,1.3336666666666666,1.2062929963966527
67,1.3538585858585857,1.1998964394925626
68,1.374050505050505,1.193695092042055
69,1.394242424242424,1.1876836469137586
70,1.4144343434343434,1.1818571070410426
71,1.4346262626262625,1.1762107638810753
72,1.4548181818181818,1.1707401769449377
73,1.4750101010101009,1.1654411542281313
74,1.49520202020202,1.1603097333944055
75,1.5153939393939393,1.1553421635690435
76,1.5355858585858584,1.150534887618138
77,1.5557777777777777,1.1458845248000138
78,1.5759696969696968,1.141387853690189
79,1.5961616161616161,1.1370417952981295
80,1.6163535353535352,1.1328433963096654
81,1.6365454545454543,1.1287898124092166
82,1.6567373737373736,1.1248782916572204
83,1.6769292929292927,1.1211061579218504
84,1.697121212121212,1.1174707943922513
85,1.7173131313131311,1.1139696272269217
86,1.7375050505050504,1.1106001094211928
87,1.7576969696969695,1.1073597050130275
88,1.7778888888888886,1.104245873771667
89,1.798080808080808,1.1012560565494482
90,1.818272727272727,1.0983876615010553
91,1.8384646464646464,1.0956380513974628
92,1.8586565656565655,1.0930045322774156
93,1.8788484848484848,1.0904843436843696
94,1.8990404040404039,1.0880746507365289
95,1.9192323232323232,1.0857725382531782
96,1.9394242424242423,1.0835750071390917
97,1.9596161616161614,1.081478973176941
98,1.9798080808080807,1.0794812683290467
99,2.0,1.0775786445763795
