FRB,z,DM,DM_ext_ne,DM_ext_pygedm,DM_ext,gl,gb,From,Ref
FRB 20180814A,0.068,190.9,77.02862955,73.07390442,73.3,136.46,16.58,Fan,https://www.nature.com/articles/s41586-018-0864-x
FRB 20181030A,0.00385,103.396,32.90748658,33.04549799,32.3,133.4,40.9,Fan,https://iopscience.iop.org/article/10.3847/2041-8213/ab4a80
FRB 20220529A,0.1839,246,175.8639953,176.0488319,176,130.78767,-41.85802,Fan,https://arxiv.org/abs/2503.04727
FRB 20220610A,1.016,1458.15,1395.787082,1397.19212,1397.15,8.8392,-70.1857,Fan,https://www.cambridge.org/core/journals/publications-of-the-astronomical-society-of-australia/article/commensal-realtime-askap-fast-transient-incoherentsum-survey/3486D8F81134D00A43DACFAC9831FAA4
FRB 20220717A,0.36295,637.34,492.3336114,489.008396,489.04,19.83515767,-17.63203224,Fan,https://arxiv.org/pdf/2407.02173
FRB 20220831A,0.262,1146.25,1009.92346,1006.037178,989.45,110.96,12.47,Fan,https://data.caltech.edu/records/3cd7s-1hx79
FRB 20230521B,1.354,1342.9,1188.025871,1179.501944,1174.1,115.65,9.97,Fan,https://data.caltech.edu/records/fqmrk-sx247
FRB 20230814A,0.553,696.4,565.0230712,561.6403183,561.6,112.56,13.2,Fan,https://data.caltech.edu/records/5h96h-7hw86
FRB 20231220A,0.3355,491.2,411.2846329,410.9344856,411.3,143.29,31.69,Fan,https://data.caltech.edu/records/bsp4b-e5m03
FRB 20240119A,0.376,483.1,415.1195542,415.7366081,415.1,112.37,43.24,Fan,https://data.caltech.edu/records/19p9x-jnx25
FRB 20240123A,0.968,1462,1342.991109,1337.980186,1341.8,138.14,15.34,Fan,https://data.caltech.edu/records/snwvs-6fj29
FRB 20240213A,0.1185,357.4,287.1768526,287.3001083,287.4,136.49,41.57,Fan,https://data.caltech.edu/records/99pa3-q0257
FRB 20240215A,0.21,549.5,470.7748141,471.2096672,471.6,102.29,30.17,Fan,https://data.caltech.edu/records/9rxv2-g8g33
FRB 20240229A,0.287,491.15,422.8133207,423.214827,423.15,131.13,44.11,Fan,https://www.wis-tns.org/object/FRB20240229A/discovery-cert
FRB 20220204A,0.4012,612.2,528.9323912,529.3556168,529.43,102.26,27.06,Kritti,https://data.caltech.edu/records/0m397-8vy97
FRB 20220207C,0.0433,262.3,156.717346,156.2024582,152.98,106.94,18.39,Kritti,https://data.caltech.edu/records/3c8kh-x6373
FRB 20220208A,0.351,437,318.0576587,316.5968094,316.65,107.62,15.36,Kritti,https://data.caltech.edu/records/3dg2k-38r28
FRB 20220307B,0.2481,499.15,348.6143803,340.9037079,333.43,116.24,10.47,Kritti,https://data.caltech.edu/records/sxn95-1ym34
FRB 20220310F,0.478,462.15,386.0579283,385.8128876,386.71,140.02,34.8,Kritti,https://data.caltech.edu/records/8pv69-3en32
FRB 20220330D,0.3714,468.1,398.8932125,399.1211563,398.75,134.18,42.93,Kritti,https://data.caltech.edu/records/jp35k-ehm67
FRB 20220418A,0.6213,623.45,556.2117966,556.7978546,555.84,110.75,44.47,Kritti,https://data.caltech.edu/records/jbt97-nb561
FRB 20220506D,0.3004,369.93,256.4613323,255.3538129,277.81,108.35,16.51,Kritti,https://data.caltech.edu/records/byyt8-y6a26
FRB 20220509G,0.0894,269.5,183.5339139,183.9006157,184.29,100.94,25.48,Kritti,https://data.caltech.edu/records/53dr5-16b81
FRB 20220726A,0.3619,686.55,576.344009,572.9042252,571.37,139.97,17.57,Kritti,https://data.caltech.edu/records/5zakw-b8918
FRB 20220825A,0.2414,651.2,543.3548979,542.740863,541.5,106.99,17.79,Kritti,https://data.caltech.edu/records/7zry5-cpa32
FRB 20220914A,0.1139,631.05,545.9934966,546.3669289,545.86,104.31,26.13,Kritti,https://data.caltech.edu/records/6jbbd-p8572
FRB 20220920A,0.1582,315,244.5577591,245.1367111,244.68,104.92,38.89,Kritti,https://data.caltech.edu/records/thzm5-ckx73
FRB 20221012A,0.2847,441.2,356.4450343,356.8536255,357.85,101.14,26.14,Kritti,https://data.caltech.edu/records/rn8j2-g1e84
FRB 20221027A,0.5422,452.5,375.3712055,374.8814125,375.36,142.66,33.96,Kritti,https://data.caltech.edu/records/05q3a-bgm50
FRB 20221029A,0.975,1391.05,1317.923981,1317.899007,1317.42,140.39,38.01,Kritti,https://data.caltech.edu/records/91bm6-x2f47
FRB 20221101B,0.2395,490.7,344.2324597,338.0160782,336.21,113.25,11.06,Kritti,https://data.caltech.edu/records/r7jkw-a4g05
FRB 20221113A,0.2505,411.027,298.6969214,294.7198864,293.5,139.53,16.99,"Kritti, Fan",https://data.caltech.edu/records/9s8bj-rm791
FRB 20221116A,0.2764,643.448,481.0715818,468.3995076,466.8,124.47,8.71,"Kritti, Fan",https://data.caltech.edu/records/hevaf-20f84
FRB 20221219A,0.553,706.708,632.3293344,632.7428625,632.3,103.19,34.07,"Kritti, Fan",https://data.caltech.edu/records/hqdsb-v4n88
FRB 20230124A,0.0939,590.574,520.959799,521.4442011,521.1,107.55,40.25,"Kritti, Fan",https://data.caltech.edu/records/m397d-9wf04
